key,n,p30,p45,p60,period,product,split
9E,15796,0.21220562167637377,0.17409470752089137,0.14434033932641174,2024-07,dep,airline
AA,85707,0.28926458748993666,0.22919948195596626,0.18276220145379024,2024-07,dep,airline
AS,23625,0.13265608465608467,0.07906878306878307,0.05151322751322751,2024-07,dep,airline
B6,19852,0.22526697561958492,0.17605279065081603,0.14018738666129357,2024-07,dep,airline
DL,85878,0.21871725005239992,0.17229092433452106,0.14028039777358578,2024-07,dep,airline
F9,18516,0.24216893497515662,0.1855692374162886,0.1412292071721754,2024-07,dep,airline
G4,12419,0.19252757871004106,0.14590546742893953,0.11442145100249618,2024-07,dep,airline
HA,6756,0.06645944345766726,0.03626406157489639,0.023978685612788632,2024-07,dep,airline
MQ,25769,0.1749388800496721,0.12332647755054522,0.08921572431991928,2024-07,dep,airline
NK,23436,0.27043864140638335,0.20822665983956307,0.16427718040621267,2024-07,dep,airline
OH,19217,0.24722901597543842,0.20180048915023158,0.1684446063381381,2024-07,dep,airline
OO,63182,0.14016650311797663,0.10632775157481561,0.08271343104048622,2024-07,dep,airline
UA,62691,0.20674418975610534,0.16314941538657862,0.1328579859947999,2024-07,dep,airline
WN,126291,0.19584926875232597,0.12798219984005194,0.08944422009486028,2024-07,dep,airline
YX,24803,0.14070878522759345,0.11006733056485103,0.08801354674837722,2024-07,dep,airline
1,101769,0.22378130864998183,0.1697668248680836,0.13293832109974552,2024-07,dep,dow
2,98462,0.18726005971847007,0.13868294367370154,0.10708699802969673,2024-07,dep,dow
3,100114,0.18117346225303155,0.13362766446251273,0.10106478614379608,2024-07,dep,dow
4,79670,0.1748085854148362,0.12794025354587674,0.09610894941634242,2024-07,dep,dow
5,79084,0.2573466187850893,0.19947144808052197,0.16070254413029184,2024-07,dep,dow
6,73927,0.19415098678426015,0.14195084339956984,0.11033857724512018,2024-07,dep,dow
7,80912,0.24116323907455012,0.18599218904488826,0.1470115681233933,2024-07,dep,dow
0001-0559,20815,0.09488349747778045,0.07273600768676436,0.059140043238049486,2024-07,dep,time_blk
0600-0659,43084,0.07566614056262186,0.0602311763067496,0.051132671061182806,2024-07,dep,time_blk
0700-0759,43261,0.09595247451515222,0.07433947435334366,0.059614895633480505,2024-07,dep,time_blk
0800-0859,41525,0.10971703792895846,0.08127633955448525,0.06227573750752559,2024-07,dep,time_blk
0900-0959,34004,0.12289730619927067,0.0889307140336431,0.06905069991765675,2024-07,dep,time_blk
1000-1059,37326,0.13583025237100144,0.0986711675507689,0.0764078658307882,2024-07,dep,time_blk
