scenario,product,tau,p,pi,B,E_payout,house_EV,lambda,EV_positive
ultra_clean,dep,30,0.05,14.0,100,5.0,9.0,2.8,True
ultra_clean,dep,45,0.03,14.0,150,4.5,9.5,3.111111111111111,True
ultra_clean,dep,60,0.02,14.0,200,4.0,10.0,3.5,True
ultra_clean,arr,30,0.05,9.0,100,5.0,4.0,1.8,True
ultra_clean,arr,45,0.03,9.0,150,4.5,4.5,2.0,True
ultra_clean,arr,60,0.02,9.0,200,4.0,5.0,2.25,True
clean_demo,dep,30,0.08,14.0,100,8.0,6.0,1.75,True
clean_demo,dep,45,0.05,14.0,150,7.5,6.5,1.8666666666666667,True
clean_demo,dep,60,0.035,14.0,200,7.000000000000001,6.999999999999999,1.9999999999999998,True
clean_demo,arr,30,0.08,9.0,100,8.0,1.0,1.125,True
clean_demo,arr,45,0.05,9.0,150,7.5,1.5,1.2,True
clean_demo,arr,60,0.035,9.0,200,7.000000000000001,1.9999999999999991,1.2857142857142856,True
HA_like_jul,dep,30,0.066,14.0,100,6.6000000000000005,7.3999999999999995,2.121212121212121,True
HA_like_jul,dep,45,0.036,14.0,150,5.3999999999999995,8.600000000000001,2.592592592592593,True
HA_like_jul,dep,60,0.024,14.0,200,4.8,9.2,2.916666666666667,True
HA_like_jul,arr,30,0.066,9.0,100,6.6000000000000005,2.3999999999999995,1.3636363636363635,True
HA_like_jul,arr,45,0.036,9.0,150,5.3999999999999995,3.6000000000000005,1.6666666666666667,True
HA_like_jul,arr,60,0.024,9.0,200,4.8,4.2,1.875,True
AS_like_jul,dep,30,0.133,14.0,100,13.3,0.6999999999999993,1.0526315789473684,True
AS_like_jul,dep,45,0.079,14.0,150,11.85,2.1500000000000004,1.1814345991561181,True
AS_like_jul,dep,60,0.052,14.0,200,10.4,3.5999999999999996,1.346153846153846,True
AS_like_jul,arr,30,0.133,9.0,100,13.3,-4.300000000000001,0.6766917293233082,False
AS_like_jul,arr,45,0.079,9.0,150,11.85,-2.8499999999999996,0.759493670886076,False
AS_like_jul,arr,60,0.052,9.0,200,10.4,-1.4000000000000004,0.8653846153846153,False
pool_avg,dep,30,0.185,14.0,100,18.5,-4.5,0.7567567567567568,False
pool_avg,dep,45,0.137,14.0,150,20.55,-6.550000000000001,0.681265206812652,False
pool_avg,dep,60,0.106,14.0,200,21.2,-7.199999999999999,0.6603773584905661,False
pool_avg,arr,30,0.185,9.0,100,18.5,-9.5,0.4864864864864865,False
pool_avg,arr,45,0.137,9.0,150,20.55,-11.55,0.437956204379562,False
pool_avg,arr,60,0.106,9.0,200,21.2,-12.2,0.42452830188679247,False
